numero_ob;categoria;tipo_doc;tipo_retencao;emissao;valor;credor_cnpj;credor_nome;empresa;contrato_siafe;competencia;nfs;empenho_ne;nota_liq_nl;status_envio;_arquivo
2025OB032227;IRRF;de Retenção;IRRF PJ Conta D NL e PODERES;07/05/25;15695,98;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;04/2025;202500000000286,202500000000287;2025NE012683;2025NL024709;Processado e Pago;OB- MA- DIVERSAS-2025
2025OB032228;ISS;de Retenção;ISS;07/05/25;16349,98;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;04/2025;202500000000286,202500000000287;2025NE012683;2025NL024709;;OB- MA- DIVERSAS-2025
2025OB032229;INSS;de Retenção;INSS;07/05/25;10869,21;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;02/2025;202500000000143;2025NE012683;2025NL025012;;OB- MA- DIVERSAS-2025
2025OB032230;ISS;de Retenção;ISS;07/05/25;8174,99;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;02/2025;202500000000143;2025NE012683;2025NL025012;;OB- MA- DIVERSAS-2025
2025OB032231;IRRF;de Retenção;IRRF PJ Conta D NL e PODERES;07/05/25;7847,99;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;02/2025;202500000000143;2025NE012683;2025NL025012;Processado e Pago;OB- MA- DIVERSAS-2025
2025OB032232;INSS;de Retenção;INSS;07/05/25;17984,98;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;04/2025;202500000000286,202500000000287;2025NE012683;2025NL024709;;OB- MA- DIVERSAS-2025
2025OB032233;PAGAMENTO;Orçamentária;;07/05/25;276968,60;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;03/2025;202500000000286,202500000000287;2025NE012683;2025NL024709;Processado e Pago;OB- MA- DIVERSAS-2025
2025OB032234;PAGAMENTO;Orçamentária;;07/05/25;136607,58;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;01/2025;202500000000143;2025NE012683;2025NL025012;Processado e Pago;OB- MA- DIVERSAS-2025
2025OB072109;IRRF;de Retenção;IRRF PJ Conta D NL e PODERES;12/08/25;40415,82;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;08/2025;202500000000750,750,202500000000751,751,202500000000752,752,202500000000753,753,202500000000754,754;2025NE012683;2025NL068843;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072110;ISS;de Retenção;ISS;12/08/25;42099,81;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;08/2025;202500000000750,750,202500000000751,751,202500000000752,752,202500000000753,753,202500000000754,754;2025NE024938;2025NL068844;;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072111;PAGAMENTO;Orçamentária;;12/08/25;542,73;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE012683;2025NL068843;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072112;PAGAMENTO;Orçamentária;;12/08/25;22537,99;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;202500000000750,750;2025NE024938;2025NL068844;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072113;PAGAMENTO;Orçamentária;;12/08/25;69800,77;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;202500000000751,751;2025NE024938;2025NL068903;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072114;PAGAMENTO;Orçamentária;;12/08/25;68683,53;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE070581;2025NL068877;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072115;PAGAMENTO;Orçamentária;;12/08/25;138484,30;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE070581;2025NL068876;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072116;PAGAMENTO;Orçamentária;;12/08/25;133621,14;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE070581;2025NL068901;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072117;PAGAMENTO;Orçamentária;;12/08/25;44092,68;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE054676;2025NL068902;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB072118;PAGAMENTO;Orçamentária;;12/08/25;235407,59;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;08/2025;;2025NE054675;2025NL068878;Processado e Pago;OB-MA- NF 750 NF 751 NF 752 NF 753 NF 754
2025OB112146;IRRF;de Retenção;IRRF PJ Conta D NL e PODERES;04/11/25;10071,15;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;09/2025;202500000000892;2025NE082828;2025NL080884;Processado e Pago;OB-MA-NF 2025-892
2025OB112147;ISS;de Retenção;ISS;04/11/25;10490,78;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;;09/2025;202500000000892;2025NE082828;2025NL080884;;OB-MA-NF 2025-892
2025OB112148;PAGAMENTO;Orçamentária;;04/11/25;177713,82;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;09/2025;202500000000892;2025NE082828;2025NL080884;Processado e Pago;OB-MA-NF 2025-892
2025OB116183;PAGAMENTO;Orçamentária;;25/11/25;355427,64;14092519000151;MONTANA ASSESSORIA EMPRESARIAL LTDA - EPP;assessoria;23000434;10/2025;202500000001226,202500000001227;2025NE082828;2025NL100874;Processado e Pago;OB-MA-2025-1226 E 2025-1227
2026OB015010;PAGAMENTO;Orçamentária;;01/04/26;84179,46;19200109000109;MONTANA SEGURANÇA PRIVADA LTDA;seguranca;23000339;03/2026;202600000000428,428,202600000000429,429;2026NE008027;2026NL008114;Processado e Pago;OB-MS-CONTRATO 011-2023-NF0428ENF00429 REF 02-2026
